,0
Overall ACC,0.5473456790123457
Overall RACCU,0.5101829037113245
Overall RACC,0.4998065557841792
Kappa,0.0949810462423408
Gwet AC1,0.11266478229198765
Bennett S,0.09469135802469139
Kappa Standard Error,0.11075976390757218
Kappa Unbiased,0.07547015723996894
Scott PI,0.07547015723996894
Kappa No Prevalence,0.09469135802469139
Kappa 95% CI,0.3120701835011822
Standard Error,0.05534738068853455
95% CI,0.6558265451618734
Chi-Squared,1.1833624284277278
Phi-Squared,0.014766968889676532
Cramer V,0.09813765368848533
Response Entropy,0.9624855759805797
Reference Entropy,0.9774196992990019
Cross Entropy,1.0387093731738306
Joint Entropy,1.9291799229686895
Conditional Entropy,0.9517602236696874
Mutual Information,0.010725352310892356
KL Divergence,0.061289673874828685
Lambda B,0.00625
Lambda A,0.04643104643104643
Chi-Squared DF,1.0
Overall J,0.3716475682181749
Hamming Loss,0.4526543209876543
Zero-one Loss,36.4
NIR,0.5668518518518518
P-Value,0.5840270915427187
Overall CEN,0.9286497406011754
Overall MCEN,0.7246928243419627
Overall MCC,0.09813765368848533
RR,40.2
CBA,0.48135379027260783
AUNU,0.5486824275184053
AUNP,0.5486824275184053
RCI,0.01081964974773589
Pearson C,0.09682344776705526
TPR Micro,0.5473456790123457
TPR Macro,0.5486824275184053
CSI,0.09816705978841585
ARI,0.0021565250244980324
TNR Micro,0.5473456790123457
TNR Macro,0.5486824275184053
Bangdiwala B,0.3209160812604822
Krippendorff Alpha,0.08121876300206697
FPR Macro,0.45131757248159465
FNR Macro,0.45131757248159465
PPV Macro,0.5494846322700105
ACC Macro,0.5473456790123457
F1 Macro,0.5377350786199845
FPR Micro,0.4526543209876543
FNR Micro,0.4526543209876543
PPV Micro,0.5473456790123457
F1 Micro,0.5473456790123457
TPR,0.4747828217840457
TNR,0.622582033252765
PPV,0.5051714236854937
NPV,0.5937978408545272
FNR,0.5252171782159543
FPR,0.37741796674723505
FDR,0.4948285763145063
FOR,0.40620215914547275
ACC,0.5473456790123457
F1,0.4773311061246569
MCC,0.09813765368848533
BM,0.0973648550368107
MK,0.09896926454002095
PLR,1.2866878648187596
NLR,0.8450108883972227
DOR,1.5785728140930724
TP,16.8
TN,27.2
FP,17.2
FN,19.2
POP,80.4
P,36.0
N,44.4
TOP,34.0
TON,46.4
PRE,0.4481481481481481
G,0.4835714887067595
RACC,0.18527364826245998
F0.5,0.4913290311821948
F2,0.4721366425641686
ERR,0.4526543209876543
RACCU,0.1904618222260326
J,0.3155090667846086
IS,0.16353101390776176
CEN,0.9707474226995189
MCEN,1.0086808669149772
AUC,0.5486824275184053
sInd,0.5347974651522901
dInd,0.657895734031974
DP,0.09812801437823526
Y,0.0973648550368107
GI,0.0973648550368107
LS,1.123372380791047
AM,-2.0
BCD,0.06216049382716049
OP,0.3422609678694339
IBA,0.24749677341324855
GM,0.5363079199331263
Q,0.19735487717325706
AGM,0.5650767348329989
AGF,0.5278756958726166
OC,0.5587569240795047
OOC,0.4835714887067595
AUPR,0.48997712273476973
ICSI,-0.020045754530460515
HD,36.4
BB,0.42119732139003474
