,0
Overall ACC,0.6591975308641975
Overall RACCU,0.5032884421201037
Overall RACC,0.49760851051668953
Kappa,0.32138833458968613
Gwet AC1,0.3230028678092896
Bennett S,0.31839506172839505
Kappa Standard Error,0.10387513051958204
Kappa Unbiased,0.3136620376607269
Scott PI,0.3136620376607269
Kappa No Prevalence,0.31839506172839505
Kappa 95% CI,0.5249835904080669
Standard Error,0.05218194667788041
95% CI,0.7614741463528432
Chi-Squared,10.427312694937156
Phi-Squared,0.1297516580166239
Cramer V,0.32933980817574204
Response Entropy,0.9963555402690231
Reference Entropy,0.9774196992990019
Cross Entropy,1.0105786703096993
Joint Entropy,1.8763297845702087
Conditional Entropy,0.8989100852712069
Mutual Information,0.09744545499781627
KL Divergence,0.033158971010697307
Lambda B,0.27406015037593984
Lambda A,0.20365035628193523
Chi-Squared DF,1.0
Overall J,0.49398792742396874
Hamming Loss,0.3408024691358024
Zero-one Loss,27.4
NIR,0.5668518518518518
P-Value,0.2426331894945955
Overall CEN,0.8322999184802304
Overall MCEN,0.6412808828231874
Overall MCC,0.32933980817574204
RR,40.2
CBA,0.6092908499821432
AUNU,0.6671338221855805
AUNP,0.6671338221855805
RCI,0.099617476017011
Pearson C,0.3054432232099618
TPR Micro,0.6591975308641975
TPR Macro,0.6671338221855805
CSI,0.3294645552489165
ARI,0.11114228128011001
TNR Micro,0.6591975308641975
TNR Macro,0.6671338221855805
Bangdiwala B,0.44859441152703583
Krippendorff Alpha,0.3179303909496329
FPR Macro,0.33286617781441946
FNR Macro,0.33286617781441946
PPV Macro,0.6623307330633359
ACC Macro,0.6591975308641975
F1 Macro,0.6568310188303635
FPR Micro,0.34080246913580253
FNR Micro,0.34080246913580253
PPV Micro,0.6591975308641975
F1 Micro,0.6591975308641975
TPR,0.6697258813537884
TNR,0.6645417630173729
PPV,0.6139485498787824
NPV,0.7107129162478896
FNR,0.33027411864621165
FPR,0.3354582369826272
FDR,0.3860514501212176
FOR,0.28928708375211043
ACC,0.6591975308641975
F1,0.6325927981041558
MCC,0.32933980817574204
BM,0.3342676443711611
MK,0.3246614661266719
PLR,2.136661256360299
NLR,0.5093688756854547
DOR,5.141972667855021
TP,23.8
TN,29.2
FP,15.2
FN,12.2
POP,80.4
P,36.0
N,44.4
TOP,39.0
TON,41.4
PRE,0.4481481481481481
G,0.6371674150584565
RACC,0.21534746513488798
F0.5,0.6196794318577834
F2,0.6519879676678734
ERR,0.34080246913580253
RACCU,0.21818743093659504
J,0.46802040816326534
IS,0.44977761217594275
CEN,0.8560021317985471
MCEN,0.9641806395720736
AUC,0.6671338221855805
sInd,0.662189353495229
dInd,0.47773639780107047
DP,0.34690221383644304
Y,0.3342676443711611
GI,0.3342676443711611
LS,1.3756164671280948
AM,3.0
BCD,0.04089506172839506
OP,0.5871534551849551
IBA,0.4523869335371239
GM,0.6646830066946621
Q,0.5811289612843475
AGM,0.6630896151257437
AGF,0.6739463230872581
OC,0.7000697800697802
OOC,0.6371674150584565
AUPR,0.6418372156162853
ICSI,0.28367443123257075
HD,27.4
BB,0.5836046511627907
