,0
Overall ACC,0.6665123456790123
Overall RACCU,0.5270308856310014
Overall RACC,0.5174056927297669
Kappa,0.3087234116438215
Gwet AC1,0.36494101855099326
Bennett S,0.3330246913580247
Kappa Standard Error,0.10886287875417155
Kappa Unbiased,0.29549752161122245
Scott PI,0.29549752161122245
Kappa No Prevalence,0.3330246913580247
Kappa 95% CI,0.5220946540019977
Standard Error,0.052427077888724874
95% CI,0.7692694183409131
Chi-Squared,8.887169685619948
Phi-Squared,0.11050188954261926
Cramer V,0.32371436114185087
Response Entropy,0.9143175381060231
Reference Entropy,0.9774196992990019
Cross Entropy,1.037899770517218
Joint Entropy,1.8093250573050093
Conditional Entropy,0.8319053580060078
Mutual Information,0.08241218010001554
KL Divergence,0.06048007121821595
Lambda B,0.05574074074074074
Lambda A,0.22072528914634176
Chi-Squared DF,1.0
Overall J,0.48508700704543806
Hamming Loss,0.33348765432098765
Zero-one Loss,26.8
NIR,0.5668518518518518
P-Value,0.11255308570414804
Overall CEN,0.8001990182301224
Overall MCEN,0.6119490405193082
Overall MCC,0.32371436114185087
RR,40.2
CBA,0.5859165085829596
AUNU,0.6537465003456361
AUNP,0.6537465003456361
RCI,0.08409961747115441
Pearson C,0.30582653760552914
TPR Micro,0.6665123456790123
TPR Macro,0.6537465003456361
CSI,0.3243921321765578
ARI,0.10250795613776771
TNR Micro,0.6665123456790123
TNR Macro,0.6537465003456361
Bangdiwala B,0.4812288697496352
Krippendorff Alpha,0.2998799093447758
FPR Macro,0.3462534996543639
FNR Macro,0.3462534996543639
PPV Macro,0.6706456318309217
ACC Macro,0.6665123456790123
F1 Macro,0.6477487608056112
FPR Micro,0.3334876543209876
FNR Micro,0.3334876543209876
PPV Micro,0.6665123456790123
F1 Micro,0.6665123456790123
TPR,0.5071796647072044
TNR,0.8003133359840676
PPV,0.6766379112031287
NPV,0.6646533524587148
FNR,0.4928203352927955
FPR,0.19968666401593232
FDR,0.3233620887968714
FOR,0.33534664754128507
ACC,0.6665123456790123
F1,0.5731537794695689
MCC,0.32371436114185087
BM,0.3074930006912721
MK,0.34129126366184354
PLR,3.063330485643827
NLR,0.6178399620239622
DOR,5.107834195486788
TP,18.2
TN,35.4
FP,9.0
FN,17.8
POP,80.4
P,36.0
N,44.4
TOP,27.2
TON,53.2
PRE,0.4481481481481481
G,0.5823627863518966
RACC,0.15198988340192043
F0.5,0.6285647738644013
F2,0.5306330804488105
ERR,0.3334876543209876
RACCU,0.15680247985253773
J,0.40298593350383627
IS,0.5933592718708137
CEN,0.8906632076636223
MCEN,0.9577504160699004
AUC,0.6537465003456361
sInd,0.6193912248578524
dInd,0.538262091764237
DP,0.36088930671118435
Y,0.3074930006912721
GI,0.3074930006912721
LS,1.5171018165683166
AM,-8.8
BCD,0.05486111111111112
OP,0.44358858761146935
IBA,0.2849886339210512
GM,0.6348477195650513
Q,0.6159792338830922
AGM,0.6927901090145827
AGF,0.6025246540605064
OC,0.6766379112031287
OOC,0.5823627863518966
AUPR,0.5919087879551667
ICSI,0.1838175759103331
HD,26.8
BB,0.5071796647072044
