,0
Overall ACC,0.6218209876543209
Overall RACCU,0.5066495460867246
Overall RACC,0.5025816758116141
Kappa,0.23924647454780218
Gwet AC1,0.25325470452685417
Bennett S,0.24364197530864198
Kappa Standard Error,0.10848643897522887
Kappa Unbiased,0.23288226763989445
Scott PI,0.23288226763989445
Kappa No Prevalence,0.24364197530864198
Kappa 95% CI,0.45187989493925074
Standard Error,0.05392947168950794
95% CI,0.7275227521657566
Chi-Squared,5.1964902440830345
Phi-Squared,0.06459525192571616
Cramer V,0.24310950180807062
Response Entropy,0.9912862236197707
Reference Entropy,0.9774196992990019
Cross Entropy,1.0012211261631243
Joint Entropy,1.9213161754004033
Conditional Entropy,0.9438964761014017
Mutual Information,0.04738974751836915
KL Divergence,0.023801426864122503
Lambda B,0.16060580704543553
Lambda A,0.13949440791546056
Chi-Squared DF,1.0
Overall J,0.44818382847327987
Hamming Loss,0.378179012345679
Zero-one Loss,30.4
NIR,0.5668518518518518
P-Value,0.29121046172256193
Overall CEN,0.8869265344827892
Overall MCEN,0.6867160362331678
Overall MCC,0.24310950180807062
RR,40.2
CBA,0.5691569448331147
AUNU,0.6227941181356786
AUNP,0.6227941181356786
RCI,0.04830843028435554
Pearson C,0.23451479987951102
TPR Micro,0.6218209876543209
TPR Macro,0.6227941181356786
CSI,0.24315937885465164
ARI,0.0524006807397895
TNR Micro,0.6218209876543209
TNR Macro,0.6227941181356786
Bangdiwala B,0.39885341902441146
Krippendorff Alpha,0.23765346442605928
FPR Macro,0.3772058818643214
FNR Macro,0.3772058818643214
PPV Macro,0.6203652607189731
ACC Macro,0.6218209876543209
F1 Macro,0.6164411338199473
FPR Micro,0.378179012345679
FNR Micro,0.378179012345679
PPV Micro,0.6218209876543209
F1 Micro,0.6218209876543209
TPR,0.6242805610002673
TNR,0.6213076752710899
PPV,0.5682431111979676
NPV,0.6724874102399785
FNR,0.37571943899973276
FPR,0.37869232472891007
FDR,0.43175688880203245
FOR,0.32751258976002146
ACC,0.6218209876543209
F1,0.5905574777590883
MCC,0.24310950180807062
BM,0.24558823627135715
MK,0.24073052143794613
PLR,1.6467290930204026
NLR,0.6019551890124017
DOR,2.919829468776837
TP,22.4
TN,27.6
FP,16.8
FN,13.6
POP,80.4
P,36.0
N,44.4
TOP,39.2
TON,41.2
PRE,0.4481481481481481
G,0.5933997688667925
RACC,0.21917664037494283
F0.5,0.5758985480195127
F2,0.6092871721013386
ERR,0.378179012345679
RACCU,0.2212105755124981
J,0.42181079789775444
IS,0.3499499556528953
CEN,0.9128557335641323
MCEN,1.0061840233422927
AUC,0.6227941181356786
sInd,0.6189236988391174
dInd,0.5389232734006942
DP,0.24455870176983852
Y,0.24558823627135715
GI,0.24558823627135715
LS,1.277058120797771
AM,3.2
BCD,0.04223765432098765
OP,0.5369150977459682
IBA,0.3918482204129995
GM,0.620299770968419
Q,0.4613187331165395
AGM,0.6204058540241657
AGF,0.6326300522411972
OC,0.650135554160322
OOC,0.5933997688667925
AUPR,0.5962618360991174
ICSI,0.19252367219823485
HD,30.4
BB,0.5423881180379129
