,0
Overall ACC,0.708858024691358
Overall RACCU,0.5132307408360006
Overall RACC,0.5096528063557384
Kappa,0.4061184468806836
Gwet AC1,0.43306341145108823
Bennett S,0.41771604938271595
Kappa Standard Error,0.10270060544993964
Kappa Unbiased,0.4010326459670198
Scott PI,0.4010326459670198
Kappa No Prevalence,0.41771604938271595
Kappa 95% CI,0.6074116335625652
Standard Error,0.05034657552849723
95% CI,0.8075373127272126
Chi-Squared,14.301406495957218
Phi-Squared,0.17778632793821758
Cramer V,0.4112129037771292
Response Entropy,0.9733091328968954
Reference Entropy,0.9774196992990019
Cross Entropy,0.9993066366821968
Joint Entropy,1.8182120349050899
Conditional Entropy,0.8407923356060879
Mutual Information,0.13251679729080734
KL Divergence,0.021886937383194888
Lambda B,0.31650641025641024
Lambda A,0.3199901410427726
Chi-Squared DF,1.0
Overall J,0.5436624248022872
Hamming Loss,0.291141975308642
Zero-one Loss,23.4
NIR,0.5668518518518518
P-Value,0.03164749350812106
Overall CEN,0.7817694450799201
Overall MCEN,0.6025936749142554
Overall MCC,0.4112129037771292
RR,40.2
CBA,0.6625336355665083
AUNU,0.7064734346239033
AUNP,0.7064734346239033
RCI,0.13626447378766177
Pearson C,0.3767889112011163
TPR Micro,0.708858024691358
TPR Macro,0.7064734346239033
CSI,0.41144802923940665
ARI,0.17310849501242476
TNR Micro,0.708858024691358
TNR Macro,0.7064734346239033
Bangdiwala B,0.5209409441821602
Krippendorff Alpha,0.4047586546750752
FPR Macro,0.29352656537609667
FNR Macro,0.29352656537609667
PPV Macro,0.7049745946155033
ACC Macro,0.708858024691358
F1 Macro,0.70051632298351
FPR Micro,0.29114197530864205
FNR Micro,0.29114197530864205
PPV Micro,0.708858024691358
F1 Micro,0.708858024691358
TPR,0.6605547994776881
TNR,0.7523920697701186
PPV,0.6776589397979
NPV,0.7322902494331066
FNR,0.33944520052231186
FPR,0.24760793022988148
FDR,0.32234106020210007
FOR,0.2677097505668934
ACC,0.708858024691358
F1,0.662320596070596
MCC,0.4112129037771292
BM,0.4129468692478067
MK,0.40994918923100665
PLR,2.6797532468479397
NLR,0.4483088521797211
DOR,6.744054834054836
TP,23.6
TN,33.4
FP,11.0
FN,12.4
POP,80.4
P,36.0
N,44.4
TOP,34.6
TON,45.8
PRE,0.4481481481481481
G,0.6656892472191346
RACC,0.19410109453589391
F0.5,0.6697201069765786
F2,0.6597173383036756
ERR,0.29114197530864205
RACCU,0.19589006177602503
J,0.49973941543090483
IS,0.6095466443600721
CEN,0.8340652986171871
MCEN,0.9610393676230302
AUC,0.7064734346239033
sInd,0.6973829067393268
dInd,0.42796519749516787
DP,0.43571010630189805
Y,0.4129468692478067
GI,0.4129468692478067
LS,1.53281634073552
AM,-1.4
BCD,0.031095679012345678
OP,0.6219007074865422
IBA,0.4593638595502518
GM,0.7009482184896061
Q,0.7041749422768725
AGM,0.7187122856353501
AGF,0.6948057753130611
OC,0.7165478286867888
OOC,0.6656892472191346
AUPR,0.669106869637794
ICSI,0.33821373927558807
HD,23.4
BB,0.6216659105887992
